clf,atlas_name,itr,tp,tn,fp,fn,sen,spc,acc,pre,npv,f1,roc_auc
DecisionTreeClassifier,rois_dosenbach160,7,24,20,27,17,0.585365854,0.425531915,0.5,0.470588235,0.540540541,0.52173913,0.505
DecisionTreeClassifier,rois_dosenbach160,8,16,28,19,25,0.390243902,0.595744681,0.5,0.457142857,0.528301887,0.421052632,0.493
DecisionTreeClassifier,rois_dosenbach160,9,19,22,25,22,0.463414634,0.468085106,0.465909091,0.431818182,0.5,0.447058824,0.466
DecisionTreeClassifier,rois_dosenbach160,average,18.3,23.9,23.6,22.4,0.449939024,0.503191489,0.478370787,0.443853263,0.509426129,0.441005339,0.4765
LogisticRegression,rois_dosenbach160,0,28,34,14,13,0.682926829,0.708333333,0.696629213,0.666666667,0.723404255,0.674698795,0.696
LogisticRegression,rois_dosenbach160,1,25,32,16,16,0.609756098,0.666666667,0.640449438,0.609756098,0.666666667,0.609756098,0.638
LogisticRegression,rois_dosenbach160,2,23,36,12,17,0.575,0.75,0.670454545,0.657142857,0.679245283,0.613333333,0.662
LogisticRegression,rois_dosenbach160,3,20,34,14,20,0.5,0.708333333,0.613636364,0.588235294,0.62962963,0.540540541,0.604
LogisticRegression,rois_dosenbach160,4,20,38,10,20,0.5,0.791666667,0.659090909,0.666666667,0.655172414,0.571428571,0.646
LogisticRegression,rois_dosenbach160,5,19,27,20,22,0.463414634,0.574468085,0.522727273,0.487179487,0.551020408,0.475,0.519
